case_id,collision_date,collision_time,latitude,longitude,collision_severity,pcf_violation_category,timestamp,sensor_id,dist_to_sensor,paper_type
8348017,2017-02-10,18:30:00,37.29359,-122.01781,pain,automobile right of way,2017-02-10 18:30:00,401210,0.006072003376144959,Minor
8348021,2017-02-20,16:04:00,37.27758,-121.99438,other injury,automobile right of way,2017-02-20 16:04:00,400222,0.010550730259087874,Minor
8348025,2017-02-24,21:03:00,37.33417,-122.01407,pain,speeding,2017-02-24 21:03:00,400499,0.0032192739864743943,Minor
8348029,2017-02-27,18:29:00,37.30245,-122.0504,pain,improper turning,2017-02-27 18:29:00,400648,0.01560926510120929,Minor
8348033,2017-02-08,13:47:00,37.32292,-122.01972,other injury,speeding,2017-02-08 13:47:00,400499,0.009451159981716431,Minor
8348076,2017-02-10,14:37:00,37.33772,-122.03236,property damage only,speeding,2017-02-10 14:37:00,400823,0.004135920937342354,Minor
8349116,2017-02-24,16:40:00,37.32292,-122.04941,property damage only,unknown,2017-02-24 16:40:00,400677,0.002982366342356743,Minor
8349120,2017-02-22,08:19:00,37.2767,-122.00807,property damage only,traffic signals and signs,2017-02-22 08:19:00,400952,0.0034087469838661793,Minor
8349444,2017-02-28,23:02:00,37.33835,-122.03975,property damage only,dui,2017-02-28 23:02:00,400823,0.010475138280703051,Minor
8349519,2017-02-28,12:53:00,37.38689,-121.99588,property damage only,improper turning,2017-02-28 12:53:00,400643,0.003992136395460815,Minor
8349664,2017-02-21,19:53:00,37.40321,-121.99607,property damage only,speeding,2017-02-21 19:53:00,400970,0.006469125597789996,Minor
8349672,2017-02-25,02:30:00,37.33753,-122.04142,property damage only,improper turning,2017-02-25 02:30:00,404640,0.00909339897947701,Minor
8349680,2017-02-28,21:48:00,37.39608,-121.99554,property damage only,improper turning,2017-02-28 21:48:00,400790,0.004870865734135912,Minor
8351681,2017-02-01,22:05:00,37.3349,-122.0321,property damage only,traffic signals and signs,2017-02-01 22:05:00,400823,0.0020928263186360996,Minor
8351697,2017-02-17,17:09:00,37.32292,-122.04941,pain,traffic signals and signs,2017-02-17 17:09:00,400677,0.002982366342356743,Minor
8351737,2017-02-03,09:58:00,37.33351,-122.03213,property damage only,speeding,2017-02-03 09:58:00,400823,0.0021499958139410314,Minor
8351741,2017-02-03,14:30:00,37.32926,-122.01428,property damage only,improper turning,2017-02-03 14:30:00,400673,0.0011141781724633543,Minor
8351749,2017-02-16,17:40:00,37.32286,-122.01428,property damage only,traffic signals and signs,2017-02-16 17:40:00,400084,0.006774506107460083,Minor
8351753,2017-02-16,12:31:00,37.2767,-122.00807,pain,speeding,2017-02-16 12:31:00,400952,0.0034087469838661793,Minor
8351757,2017-02-20,21:00:00,37.27722,-122.00727,property damage only,improper turning,2017-02-20 21:00:00,400582,0.003107804369656088,Minor
8352716,2017-04-23,13:28:00,37.41417,-121.88822,property damage only,speeding,2017-04-23 13:28:00,407152,0.00770761766047076,Minor
8352815,2017-02-27,15:16:00,37.31567,-122.03844,pain,speeding,2017-02-27 15:16:00,400677,0.011192680152684499,Minor
8352817,2017-02-28,18:20:00,37.31977,-122.04135,property damage only,speeding,2017-02-28 18:20:00,400677,0.007410887193866776,Minor
8352819,2017-02-25,13:40:00,37.32283,-122.00557,property damage only,unsafe starting or backing,2017-02-25 13:40:00,400560,0.0033486000059850707,Minor
8352833,2017-02-24,13:09:00,37.31475,-122.06521,property damage only,improper turning,2017-02-24 13:09:00,400209,0.016997486931891806,Minor
8352835,2017-02-27,19:54:00,37.33772,-122.03236,pain,dui,2017-02-27 19:54:00,400823,0.004135920937342354,Minor
8352837,2017-02-12,13:22:00,37.30975,-122.02334,property damage only,unsafe lane change,2017-02-12 13:22:00,400507,0.012603964336667894,Minor
8352839,2017-02-02,09:25:00,37.3007,-122.03501,property damage only,improper turning,2017-02-02 09:25:00,400648,0.002325411146442969,Minor
8352841,2017-02-24,08:13:00,37.32286,-122.01428,property damage only,automobile right of way,2017-02-24 08:13:00,400084,0.006774506107460083,Minor
8352843,2017-02-06,08:01:00,37.32284,-122.00661,property damage only,automobile right of way,2017-02-06 08:01:00,400560,0.004222198716314541,Minor
8352847,2017-02-14,16:02:00,37.31936,-122.00561,pain,improper turning,2017-02-14 16:02:00,400560,0.006116567828454474,Minor
8352849,2017-02-18,12:14:00,37.29946,-122.03202,property damage only,unsafe lane change,2017-02-18 12:14:00,400828,0.0020564379397514116,Minor
8352851,2017-02-12,16:30:00,37.32277,-122.05189,property damage only,improper turning,2017-02-12 16:30:00,404435,0.003960445429492028,Minor
8352857,2017-02-06,15:39:00,37.31614,-122.02927,property damage only,automobile right of way,2017-02-06 15:39:00,400185,0.014031041657693047,Minor
8352873,2017-02-08,09:40:00,37.32281,-122.04624,property damage only,improper turning,2017-02-08 09:40:00,400677,0.0037650084993346147,Minor
8352877,2017-02-07,17:30:00,37.32637,-122.03224,property damage only,improper turning,2017-02-07 17:30:00,400823,0.008161573500252668,Minor
8352881,2017-02-01,15:10:00,37.31026,-122.01335,property damage only,improper turning,2017-02-01 15:10:00,400560,0.01794262862571649,Minor
8352883,2017-02-03,12:25:00,37.33417,-122.01407,property damage only,unsafe starting or backing,2017-02-03 12:25:00,400499,0.0032192739864743943,Minor
8352885,2017-02-01,08:07:00,37.32281,-122.04624,property damage only,improper turning,2017-02-01 08:07:00,400677,0.0037650084993346147,Minor
8352889,2017-02-02,12:31:00,37.27224,-122.0132,property damage only,speeding,2017-02-02 12:31:00,400097,0.00724895716638679,Minor
8352893,2017-02-01,15:27:00,37.3334,-122.04243,property damage only,improper turning,2017-02-01 15:27:00,404640,0.007200180900510414,Minor
8352897,2017-02-02,12:30:00,37.27224,-122.0132,property damage only,speeding,2017-02-02 12:30:00,400097,0.00724895716638679,Minor
8355912,2017-02-07,06:40:00,37.3157,-122.04149,pain,traffic signals and signs,2017-02-07 06:40:00,400677,0.008448987454136782,Minor
8355960,2017-04-12,,37.33223,-121.88334,property damage only,other improper driving,,400953,0.005616628971188295,Minor
8357875,2017-04-12,16:56:00,37.43,-121.90906,property damage only,speeding,2017-04-12 16:56:00,401489,0.00829227351214589,Minor
8357879,2017-04-15,21:00:00,37.42658,-121.91395,property damage only,unknown,2017-04-15 21:00:00,401464,0.0027308991193398147,Minor
8357883,2017-04-23,16:52:00,37.42656,-121.9135,property damage only,speeding,2017-04-23 16:52:00,401464,0.003078949496178574,Minor
8357899,2017-04-24,18:27:00,37.429,-121.90992,pain,automobile right of way,2017-04-24 18:27:00,401489,0.0072029132995045046,Minor
8358192,2017-01-31,03:56:00,37.32773,-121.96642,property damage only,speeding,2017-01-31 03:56:00,400292,0.012672305551876286,Minor
8358641,2017-02-06,01:51:00,37.34614,-121.95128,property damage only,dui,2017-02-06 01:51:00,400723,0.018779824599814584,Minor
8358961,2017-01-31,17:34:00,37.34121,-121.9395,pain,improper turning,2017-01-31 17:34:00,400514,0.007347285757334931,Minor
8358965,2017-01-25,15:31:00,37.4053,-121.96951,pain,improper turning,2017-01-25 15:31:00,400973,0.01277805564239445,Minor
8358968,2017-04-05,16:37:00,37.36374,-121.96491,other injury,pedestrian violation,2017-04-05 16:37:00,400895,0.017715532309251877,Minor
8358973,2017-01-17,16:35:00,37.32997,-121.97463,pain,automobile right of way,2017-01-17 16:35:00,400414,0.012320999350708102,Minor
8358977,2017-01-18,16:54:00,37.36622,-121.95046,pain,automobile right of way,2017-01-18 16:54:00,400227,0.012985613770631088,Minor
8358989,2017-01-16,18:12:00,37.36243,-121.96412,other injury,pedestrian right of way,2017-01-16 18:12:00,400895,0.01883359830196897,Minor
8358997,2017-01-11,15:18:00,37.37319,-121.94353,pain,unsafe lane change,2017-01-11 15:18:00,400586,0.0037778398589605514,Minor
